"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACSS3",310.334648996095,0.0155234724255011,0.227693632526736,0.944499490777167,0.960609427925377
"ACTA1",7.61903820777826,-0.359827613662325,0.617770244203011,0.345069968190876,0.444755727951582
"ACTA2",2498.12771894115,-1.19283846673368,0.194218118491036,2.24077205114599e-10,2.54665980056193e-09
"ACTB",19505.0432239383,-0.497829768048521,0.157303738390589,0.00121109025690656,0.00353785882727586
"ACTBL2",91.6117342699074,-7.13705998323081,0.767368814343938,3.52461052294265e-21,1.53225063374231e-19
"ACTC1",155.157793828443,-3.13462996406491,0.344846805433538,7.67317260339332e-21,3.2399879533467e-19
"ACTG1",38425.1626451022,-1.2799790957157,0.17226050407045,2.72539388432255e-14,5.39878810979719e-13
"ACTG2",709.32810729161,-0.773864274773499,0.283923683167187,0.00305139985680284,0.00795961642448671
"ACTL6A",521.869372502218,0.424755054250357,0.11406552246674,0.000161040807901605,0.000589581053611974
"ACTMAP",152.345185722673,0.54509362224174,0.243605665838854,0.0172951861197895,0.0359721936146929
"ACTN1",6240.2396597611,-0.423412168939586,0.188655526470057,0.0206581391804354,0.0419436508149873
"ACTN3",13.7769349339087,-1.75782259589238,0.453129916844633,1.54558193068952e-05,7.22444943767746e-05
"ACTN4",8428.98965513428,-0.297249268639845,0.0902747740929944,0.000895731747026438,0.00271877305847234
"ACTR10",889.891797376579,0.275942278706834,0.102602026319591,0.00661092098562708,0.0156453144806004
"ACTR1A",2855.29459769485,-0.519747790462453,0.108063524058246,1.11195116583851e-06,6.55071364387507e-06
"ACTR1B",1539.5775266075,0.303129211999625,0.0955351268968484,0.00136248484801973,0.00392105944359176
"ACTR2",3234.58585518878,0.169300449492146,0.106242743074884,0.107519443663215,0.170673458103764
"ACTR3",3017.52883578745,0.12100123131944,0.110882909041017,0.293795518479187,0.391033172547896
"ACTR3B",291.55883844161,0.664326041950857,0.136887952919478,7.50039966497035e-07,4.58322585862683e-06
"ACTR5",292.174731909076,0.220101539466962,0.15914405326245,0.156543619672697,0.233065785510173
"ACTR6",313.111883447574,-0.205045481167224,0.141356926033173,0.138650876825149,0.210492686733518
"ACTR8",666.049596469968,-0.227102319405453,0.162877941903027,0.151685721766792,0.22684739782951
"ACVR1",449.464723589189,-0.93354621770129,0.143239124105119,2.93848373077507e-11,3.85607716343346e-10
"ACVR1B",1747.64940153952,0.175844822137142,0.119429812790907,0.136231007823328,0.20746137084398
"ACVR1C",79.6160382667095,-1.85426025155455,0.45131117247886,4.79096773750254e-06,2.48196596909069e-05
"ACVR2A",871.388332109203,-0.462120191985647,0.24398443169373,0.0434027557595706,0.0790120840377289
"ACVR2B",360.397929200501,0.429893057625251,0.173609753743385,0.0106691825682126,0.0237340354280302
"ACVRL1",1192.18976491728,-0.251918395981875,0.144270080492897,0.0742081233860977,0.125123670013903
"ACY1",1398.22103037565,-0.0638896737813212,0.153006010198754,0.667694552554934,0.74446044552082
"ACYP1",214.612502159961,1.01192569718292,0.15970800938286,8.67228991370044e-11,1.0580011775107e-09
"ACYP2",290.582255620474,-0.508484910068811,0.177673272537091,0.00306944544705658,0.00799641507609573
"ADA",304.091532657505,-0.284772376808652,0.214774422191801,0.163791833697708,0.242040008771311
"ADA2",31.1369090339083,-1.05916739024593,0.361464721583697,0.00100703741652478,0.00301257803418005
"ADAL",319.840349951011,-0.64939341909927,0.150512139431535,9.85681324679883e-06,4.80322346234123e-05
"ADAM10",983.68807926987,-0.731702548450571,0.21954857154102,0.000454745119073409,0.00149270064192778
"ADAM11",46.3922174706351,0.38089249905294,0.345643851582755,0.211262385622173,0.298755228990658
"ADAM12",85.2151941480011,-2.56732812790379,0.283347900908926,1.33631417112568e-20,5.45970951860375e-19
"ADAM15",1711.62125787981,0.163419754249838,0.150208070327451,0.267288210984909,0.362170806378293
"ADAM17",1298.79988386526,0.720677409331876,0.194798919785544,0.000119989960132352,0.000455347838386585
"ADAM19",229.922696402244,-1.61308985887485,0.278100564285189,1.08535692705678e-09,1.08767239161552e-08
"ADAM22",70.8953212658228,-0.124363916900551,0.246726862916642,0.590814385606648,0.676376797489674
"ADAM23",7.69872633868762,-0.00157653078694217,0.494231132390845,0.994837042770936,0.996417762167008
"ADAM28",10.9440064172655,-0.876008607351257,0.541211523798366,0.0348808183986097,0.0654873358935711
"ADAM32",6.97491618363489,-0.0658725481288141,0.45340558025427,0.851372220922795,0.891795314630976
"ADAM33",1128.33342544788,-0.644456955832027,0.230838965490331,0.00311620467444299,0.00809558937531147
"ADAM8",49.3089584742643,-0.0391114140869425,0.447529357602264,0.909115825152612,0.935620659705167
"ADAM9",734.6924103183,0.149342332896093,0.110955583127964,0.173555479002288,0.254249258885441
"ADAMTS1",2640.73616755936,-1.21703983755527,0.371354245186654,0.000244000192139184,0.00085482401573176
"ADAMTS10",804.699115130539,0.946886671198486,0.184667869054832,1.17442784148405e-07,8.27160869999737e-07
"ADAMTS12",498.107410963101,-1.42566715122332,0.257714249685397,6.34385847631986e-09,5.54302485678443e-08
"ADAMTS13",80.4515512665675,-1.05820094269432,0.323092365197475,0.000323591352010079,0.00109961250731188
"ADAMTS14",472.787820717914,0.910493232774866,0.263332726052136,0.000219998021248929,0.000779398850871858
"ADAMTS15",266.928648344868,-0.296772893134155,0.201759950619188,0.124752619198232,0.192893887765992
"ADAMTS16",31.0309135130835,-0.756317163150059,0.376396778987903,0.0205997040290283,0.0418490764401876
"ADAMTS17",471.269232387998,-1.69347719914302,0.127490313026567,4.71851096248338e-41,9.05236070519909e-39
"ADAMTS18",185.899180125041,-2.95624509747062,0.380756724664656,6.48200959242418e-16,1.62050239810605e-14
"ADAMTS19",18.0698133882465,-1.56936998235703,0.552242648183402,0.000650558710499018,0.00203985809918416
"ADAMTS2",2480.08638680896,-1.42177639980463,0.231719128017657,1.71135256830555e-10,1.99243884106814e-09
"ADAMTS20",73.2045142862178,0.0308906471843462,0.315162818326283,0.915238502046695,0.939854585225391
"ADAMTS3",126.120499835627,0.907879480964551,0.279299495598798,0.000463811714426625,0.00151850802441661
"ADAMTS4",178.288544536348,-2.0522652695101,0.423532525700537,1.35261009709506e-07,9.43992416517511e-07
"ADAMTS5",307.576324675276,-1.8612459880611,0.293753771011955,3.10075935936046e-11,4.04795877904676e-10
"ADAMTS6",271.321944833145,-1.38015716114387,0.381140780469146,5.63913507670671e-05,0.000232168728957017
"ADAMTS7",167.691167207485,-2.10642335223443,0.250434944027563,4.80820462515909e-18,1.50203206431961e-16
"ADAMTS8",141.737002208222,-4.2906117354847,0.390391538199778,3.13092453515695e-29,2.76304090227601e-27
"ADAMTS9",632.508945759879,-0.984278772870492,0.520096107353892,0.0163702836589213,0.0343398510316093
"ADAMTSL1",226.213895398001,0.532356698189107,0.217281885434855,0.010062226748874,0.0225837108491386
"ADAMTSL2",55.0796421508126,-1.98373874556995,0.283245183053165,3.26437355373506e-13,5.46643199463223e-12
"ADAMTSL3",781.5339301655,0.363536805833939,0.192398352819789,0.0500209132495661,0.0892598441871238
"ADAMTSL4",862.987266333125,0.216138470683344,0.183176283602814,0.223583061537748,0.312730965806612
"ADAMTSL5",174.208405280936,0.0513617980020639,0.195108696170185,0.786243270715293,0.841042044128783
"ADAP1",88.3588302046314,-0.386727632440702,0.262863699126863,0.113092629620332,0.177916107938866
"ADAP2",452.895369444074,0.655677114108787,0.192858294100752,0.000412339615748276,0.00136877829940889
"ADAR",2542.45555349692,0.725701470856551,0.134008395380482,3.56278332411039e-08,2.74119989845459e-07
"ADARB1",652.518248842002,0.85799832292094,0.151829223265586,7.37451328507766e-09,6.36168912422388e-08
"ADAT1",85.9069385664705,-0.43590294594685,0.359583545899845,0.162725778432606,0.240763616233069
"ADAT2",326.312234895032,0.774143288892657,0.13950849397968,1.51115483485208e-08,1.23138886588824e-07
"ADCK1",162.005834556824,-0.487394080720624,0.285548398260919,0.06236983037134,0.107713063214692
"ADCK2",735.747358674889,-0.46579704071046,0.133181142624091,0.000364820433348809,0.00122695896505459
